DATE,TIME_hh,Man_kW
2019/4/1,1,2493
2019/4/1,2,2480
2019/4/1,3,2493
2019/4/1,4,2547
2019/4/1,5,2712
2019/4/1,6,2922
2019/4/1,7,3060
2019/4/1,8,3277
2019/4/1,9,3426
2019/4/1,10,3460
2019/4/1,11,3491
2019/4/1,12,3379
2019/4/1,13,3531
2019/4/1,14,3493
2019/4/1,15,3494
2019/4/1,16,3569
2019/4/1,17,3678
2019/4/1,18,3831
2019/4/1,19,3777
2019/4/1,20,3689
2019/4/1,21,3570
2019/4/1,22,3404
2019/4/1,23,3178
2019/4/2,0,2925
2019/4/2,1,2800
2019/4/2,2,2768
2019/4/2,3,2762
2019/4/2,4,2795
2019/4/2,5,2947
2019/4/2,6,3173
2019/4/2,7,3319
2019/4/2,8,3518
2019/4/2,9,3676
2019/4/2,10,3662
2019/4/2,11,3644
2019/4/2,12,3484
2019/4/2,13,3604
2019/4/2,14,3551
2019/4/2,15,3514
2019/4/2,16,3604
2019/4/2,17,3718
2019/4/2,18,3936
2019/4/2,19,3930
2019/4/2,20,3842
2019/4/2,21,3719
2019/4/2,22,3536
2019/4/2,23,3292
2019/4/3,0,3035
2019/4/3,1,2898
2019/4/3,2,2859
2019/4/3,3,2836
2019/4/3,4,2869
2019/4/3,5,3020
2019/4/3,6,3265
2019/4/3,7,3412
2019/4/3,8,3603
2019/4/3,9,3756
2019/4/3,10,3756
2019/4/3,11,3709
2019/4/3,12,3496
2019/4/3,13,3538
2019/4/3,14,3472
2019/4/3,15,3434
2019/4/3,16,3521
2019/4/3,17,3639
2019/4/3,18,3865
2019/4/3,19,3854
2019/4/3,20,3769
2019/4/3,21,3644
2019/4/3,22,3475
2019/4/3,23,3237
2019/4/4,0,2988
2019/4/4,1,2869
2019/4/4,2,2827
2019/4/4,3,2814
2019/4/4,4,2844
2019/4/4,5,2996
2019/4/4,6,3221
2019/4/4,7,3319
2019/4/4,8,3485
2019/4/4,9,3589
2019/4/4,10,3545
2019/4/4,11,3496
2019/4/4,12,3300
2019/4/4,13,3351
2019/4/4,14,3300
2019/4/4,15,3274
2019/4/4,16,3343
2019/4/4,17,3426
2019/4/4,18,3619
2019/4/4,19,3592
2019/4/4,20,3500
2019/4/4,21,3374
2019/4/4,22,3222
2019/4/4,23,3007
2019/4/5,0,2768
2019/4/5,1,2664
2019/4/5,2,2649
2019/4/5,3,2662
2019/4/5,4,2705
2019/4/5,5,2818
2019/4/5,6,2989
2019/4/5,7,3113
2019/4/5,8,3302
2019/4/5,9,3414
2019/4/5,10,3391
2019/4/5,11,3356
2019/4/5,12,3162
2019/4/5,13,3238
2019/4/5,14,3202
2019/4/5,15,3187
2019/4/5,16,3227
2019/4/5,17,3235
2019/4/5,18,3381
2019/4/5,19,3316
2019/4/5,20,3205
2019/4/5,21,3087
2019/4/5,22,2969
2019/4/5,23,2801
